NORAD_ID,Name
523,SCOUT X-3 DEB [YO]
524,SPUTNIK 25 DEB
525,FTV 1157
526,FTV 1157 DEB
527,FTV 2313
528,FTV 2313 DEB
529,FTV 2313 DEB
530,THOR ABLESTAR DEB
531,THOR ABLESTAR DEB
532,DELTA 1 R/B
533,FTV 0240
534,SCOUT X-3M R/B
535,SCOUT X-3M DEB
536,SCOUT X-3M DEB
537,THOR ABLESTAR DEB
538,THOR ABLESTAR DEB
539,THOR ABLESTAR DEB
540,THOR ABLESTAR DEB
541,THOR ABLESTAR DEB
542,THOR ABLESTAR DEB
543,THOR ABLESTAR DEB
544,THOR ABLESTAR DEB
545,THOR ABLESTAR DEB
546,THOR ABLESTAR DEB
547,THOR ABLESTAR DEB
548,THOR ABLESTAR DEB
549,THOR ABLESTAR DEB
550,THOR ABLESTAR DEB
551,THOR ABLESTAR DEB
552,THOR ABLESTAR DEB
553,SYNCOM 1
554,COSMOS 13
555,SL-3 R/B
556,THOR ABLESTAR DEB
557,THOR ABLESTAR DEB
558,THOR ABLESTAR DEB
559,THOR ABLESTAR DEB
560,THOR ABLESTAR DEB
561,THOR ABLESTAR DEB
562,FTV 1660
563,SL-6 R/B
564,EXPLORER 17 (S-6)
565,DELTA 1 R/B
566,LUNA 4
567,COSMOS 14
568,SL-7 R/B
569,COSMOS 15
570,SL-3 R/B
571,COSMOS 16
572,SL-3 R/B
573,TELSTAR 2 (A-41)
574,MIDAS 6 (FTV 1169)
575,DELTA 1 R/B
576,MERCURY ATLAS 9
577,ATLAS D R/B
578,FTV 1110
579,ERS 5
580,COSMOS 17
581,SL-7 DEB
582,SL-7 DEB
583,SL-7 DEB
584,SL-7 DEB
585,SL-7 DEB
586,COSMOS 18
587,SL-7 R/B
588,SL-7 R/B
589,DASH 1
590,THOR AGENA D
591,VOSTOK 5
592,SL-3 R/B
593,THOR AGENA D R/B
594,TRANSIT 5A-3
595,VOSTOK 6
596,SL-3 R/B
597,SURCAL 1B
598,FTV 1292
599,SOLRAD 6
600,RADOSE 112
601,LOFTI 2A
602,WESTFORD NEEDLES
603,SCOUT X-3 R/B
604,TIROS 7
605,DELTA 1 R/B
606,DELTA 1 DEB
607,DELTA 1 DEB
608,ERS 6
609,THOR AGENA D
610,SCOUT X-3 DEB
611,SCOUT X-3 DEB
612,GRS
613,THOR AGENA B
614,HITCH HIKER 1
615,THOR AGENA B DEB
616,THOR AGENA B DEB
617,THOR AGENA D DEB
618,ATLAS AGENA D
619,ATLAS AGENA D DEB
620,ATLAS AGENA D R/B
621,THOR AGENA D
622,MIDAS 7/ERS 10
623,THOR AGENA D DEB
624,DASH 2
625,DELTA 1 R/B
626,THOR AGENA D
627,THOR AGENA D DEB
628,WESTFORD NEEDLES
629,WESTFORD NEEDLES
630,ATLAS AGENA B DEB
631,ATLAS AGENA B DEB
632,COSMOS 19
633,SL-7 R/B
634,SYNCOM 2 (A 26)
635,ERS 9
636,THOR AGENA D
637,THOR AGENA D
638,0.1 SQ METER TARGET
639,THOR AGENA D DEB
640,THOR AGENA D DEB
641,ATLAS AGENA D
642,THOR AGENA D DEB
643,THOR ABLESTAR DEB
644,THOR ABLESTAR DEB
645,THOR ABLESTAR DEB
646,THOR ABLESTAR DEB
647,THOR ABLESTAR DEB
648,THOR ABLESTAR DEB
649,THOR ABLESTAR DEB
650,THOR ABLESTAR DEB
651,THOR ABLESTAR DEB
652,THOR ABLESTAR DEB
653,THOR ABLESTAR DEB
654,THOR ABLESTAR DEB
655,THOR ABLESTAR DEB
656,THOR ABLESTAR DEB
657,THOR ABLESTAR DEB
658,THOR ABLESTAR DEB
659,THOR ABLESTAR DEB
660,THOR ABLESTAR DEB
661,THOR ABLESTAR DEB
662,THOR ABLESTAR DEB
663,ATLAS AGENA D DEB
664,ATLAS AGENA D DEB
665,ATLAS AGENA D DEB
666,ATLAS AGENA D DEB
667,ATLAS AGENA D DEB
668,THOR AGENA D
669,THOR ABLESTAR R/B
670,TRANSIT 5B-1
671,RADIATION SAT (5E-1)
672,THOR ABLESTAR DEB
673,COSMOS 20
674,VELA 2
675,ERS 12
676,SL-3 R/B
677,ATLAS AGENA D
678,ATLAS AGENA D R/B
679,ATLAS AGENA D DEB
680,ATLAS AGENA D DEB
681,THOR AGENA D
682,HITCH HIKER 2
683,POLYOT 1
684,SL-5 DEB
685,SL-5 R/B
686,SL-5 DEB
687,COSMOS 21
688,SL-6 R/B
689,COSMOS 22
690,SL-3 R/B
691,THOR AGENA D DEB
692,VELA 1
693,EXPLORER 18 (IMP-1)
694,ATLAS CENTAUR 2
695,THOR AGENA D
696,ATLAS CENTAUR 2 DEB
697,ATLAS CENTAUR 2 DEB
698,ATLAS CENTAUR 2 DEB
699,ATLAS CENTAUR 2 DEB
700,ATLAS CENTAUR 2 DEB
701,ATLAS CENTAUR 2 DEB
702,WESTFORD NEEDLES
703,THOR ABLESTAR R/B
704,TRANSIT 5B-2
705,TRANSIT 5E-3
706,THOR ABLESTAR DEB
707,COSMOS 23
708,SL-7 R/B
709,SL-7 DEB
710,SL-7 DEB
711,ATLAS AGENA D
712,COSMOS 24
713,SL-3 R/B
714,EXPLORER 19 (ADI-1)
715,THOR ABLESTAR DEB
716,TIROS 8
717,DELTA 1 R/B
718,THOR AGENA D
719,HITCH HIKER 3
720,DELTA 1 DEB
721,SCOUT X-4 R/B
722,SCOUT X-4 DEB
723,SCOUT X-4 DEB
724,SCOUT X-4 DEB
725,SCOUT X-4 DEB
726,SCOUT X-4 DEB
727,THOR AGENA D R/B
728,GGSE 1 (GGRS)
729,SECOR 1B
730,SOLRAD 7A
731,GREB
732,SCOUT X-4 DEB
733,THOR AGENA D R/B
734,OPS 3367 A
735,OPS 3367 B
736,DELTA 1 DEB
737,RELAY 2
738,DELTA 1 R/B
739,ATLAS CENTAUR 2 DEB
740,ECHO 2 (A-12)
741,THOR AGENA B R/B
742,THOR AGENA B DEB
743,THOR AGENA B DEB
744,SATURN 1 (SATURN SA-5)
745,THOR ABLESTAR DEB
746,ELEKTRON 1
747,RANGER 6 (RA-6)
748,ELEKTRON 2
749,THOR AGENA B DEB
750,ELEKTRON 1 DEB
751,SL-3 R/B
752,OPS 3444
753,THOR ABLESTAR DEB
754,OPS 2423
755,OPS 3444 DEB
756,OPS 2423 DEB
757,COSMOS 25
758,SL-7 R/B
759,OPS 3722
760,OPS 3722 DEB
761,OPS 3722 DEB
762,SL-7 DEB
763,SL-7 DEB
764,OPS 3435
765,ATLAS AGENA D R/B
766,COSMOS 26
767,SL-7 R/B
768,SL-7 DEB
769,SL-7 DEB
770,SL-6 R/B
771,ARIEL 2 (UK-2)
772,COSMOS 27
773,SL-6 DEB
774,SL-6 DEB
775,SCOUT X-3 R/B
776,SL-6 PLAT
777,SL-6 R/B
778,SL-6 DEB
779,COSMOS 28
780,SL-3 R/B
781,SL-3 DEB
782,GEMINI 1
783,SL-5 R/B
784,POLYOT 2
785,ZOND 1
786,OPS 3743
787,OPS 3743 DEB
788,OPS 3743 DEB
789,OPS 3743 DEB
790,OPS 3743 DEB
791,COSMOS 29
792,SL-3 R/B
793,SL-3 DEB
794,SL-3 DEB
795,SL-3 DEB
796,OPS 2921
797,COSMOS 30
798,SL-3 R/B
799,OPS 3592
800,APOLLO MODEL 1
801,OPS 4412 (TRANSIT 9)
802,OPS 3483
803,COSMOS 31
804,SL-7 R/B
805,SCOUT X-4 DEB
806,SCOUT X-4 DEB
807,COSMOS 32
808,SL-3 R/B
809,SCOUT X-4 R/B
810,SL-3 DEB
811,OPS 3236 (STARFLASH 1A)
812,OPS 4467 A
813,OPS 4467 B
814,OPS 3754
815,THOR AGENA D R/B
816,COSMOS 33
817,SL-3 R/B
818,SL-3 DEB
819,SL-3 DEB
820,OPS 3236 DEB
821,OPS 3754 DEB
822,COSMOS 34
823,SL-3 R/B
824,OPS 3395
825,OPS 3684
826,OPS 4923
827,OPS 4923 DEB
828,OPS 3491
829,ELEKTRON 3
830,ELEKTRON 4
831,ELEKTRON 3 DEB
832,SL-3 R/B
833,COSMOS 35
834,SL-3 R/B
835,SL-3 DEB
836,OPS 3662 (VELA 3)
837,OPS 3674 (VELA 4)
838,ERS 13
839,SL-3 DEB
840,THOR ABLESTAR DEB
841,THOR ABLESTAR DEB
842,RANGER 7
843,ATLAS AGENA B R/B
844,COSMOS 36
845,SL-7 R/B
